OrderID,OrderDate,CustomerID,SKU,Quantity,Sales
O0003,2024-07-08,C001,NT-002,2,3332.0
O0007,2024-06-15,C010,NT-003,3,326.25
O0008,2024-08-29,C010,NT-009,1,779.2
O0010,2024-04-01,C007,NT-007,1,801.6
O0014,2024-06-10,C007,NT-003,1,177.0
O0018,2024-08-04,C005,NT-014,1,1148.0
O0020,2024-01-15,C002,NT-010,1,918.0
O0023,2024-08-18,C010,NT-006,2,619.4
O0029,2024-07-25,C004,NT-001,2,258.4
O0036,2024-07-08,C004,NT-016,1,67.0
O0041,2024-08-07,C012,NT-003,1,303.05
O0044,2024-09-03,C003,NT-004,1,1009.6
O0045,2024-07-21,C011,NT-018,1,782.0
O0046,2024-10-06,C005,NT-003,1,174.0
O0047,2024-07-16,C012,NT-015,3,396.0
O0048,2024-07-05,C003,NT-007,1,1799.0
O0050,2024-05-26,C001,NT-008,1,146.0
O0052,2024-09-19,C010,NT-002,1,1003.0
O0057,2024-06-01,C003,NT-001,1,165.3
O0061,2024-06-09,C001,NT-018,1,1002.0
O0064,2024-08-17,C010,NT-008,2,212.0
O0072,2024-09-09,C010,NT-005,1,645.0
O0073,2024-05-07,C005,NT-018,1,548.25
O0076,2024-06-03,C008,NT-002,1,1996.0
O0077,2024-09-02,C004,NT-014,1,1608.35
O0079,2024-11-16,C005,NT-003,1,94.5
O0084,2024-10-31,C009,NT-018,1,949.0
O0099,2024-06-02,C007,NT-001,2,56.0
